|h2e2
g0e2,b7d7,a0a1,b9c7,a1d1,h9g7,g3g4,a9b9,h2f2|i9h9
g0e2,b7d7,a0a1,b9c7,a1d1,h9g7,g3g4,a9b9,h2f2,i9h9|h0g2
g0e2,b7d7,a0a1,b9c7,a1d1,h9g7,g3g4,a9b9,h2f2,i9h9,h0g2|h7i7
h0g2,g6g5,h2i2,h9g7|i0h0
h0g2,g6g5,h2i2,h9g7,i0h0|i9h9
h0g2,g6g5,h2i2,h9g7,i0h0,i9h9|c3c4
h0g2,g6g5,h2i2,h9g7,i0h0,i9h9,c3c4|h7h3
h0g2,g6g5,h2i2,h9g7,i0h0,i9h9,c3c4,h7h3|b0c2
h0g2,g6g5,h2i2,h9g7,i0h0,i9h9,c3c4,h7h3,b0c2|b7b3
h0g2,g6g5,h2i2,h9g7,i0h0,i9h9,c3c4,h7h3,b0c2,b7b3|g0e2
h0g2,g6g5,h2i2,h9g7,i0h0,i9h9,c3c4,h7h3,b0c2,b7b3,g0e2|b9c7
g0e2,g6g5,c3c4,g9e7,b0c2,b9a7,a0a1,a9a8,a1f1,a8d8|f1f4
g0e2,g6g5,c3c4,g9e7,b0c2,b9a7,a0a1,a9a8,a1f1,a8d8,f1f6|h9g7
g0e2,h7d7,h0g2,g6g5,c3c4|h9g7
g0e2,h7d7,h0g2,g6g5,c3c4,h9g7|i0h0
g0e2,h7d7,h0g2,g6g5,c3c4,h9g7,i0h0|i9h9
g0e2,h7d7,c3c4,h9g7,h2f2|i9h9
g0e2,h7d7,c3c4,h9g7,h2f2,i9h9|h0g2
g0e2,h7d7,c3c4,h9g7,h2f2,i9h9,h0g2|g6g5
g0e2,h7d7,c3c4,h9g7,h2f2,i9h9,h0g2,h9h5|i0h0
g0e2,h7d7,c3c4,h9g7,h2f2,i9h9,h0g2,h9h5,i0h0|h5h0
g0e2,h7d7,c3c4,h9g7,h2f2,i9h9,h0g2,h9h5,i0h0,h5d5|b0c2
g0e2,h7d7,c3c4,h9g7,h2f2,i9h9,h0g2,h9h5,i0h0,h5d5,b0c2|g6g5
h2d2,h9g7,h0g2,i9h9,g3g4,h7i7,c0e2,c6c5,i0i1,h9h5|i1c1
h2d2,h9g7,h0g2,i9h9,g3g4,h7i7,c0e2,c6c5,i0i1,h9h5,i1c1|c9e7
g0e2,g6g5,b0c2,g9e7,c3c4,b9a7,a0a1,h9g7|a1f1
g0e2,c6c5,b2c2,b9a7,b0a2,a9b9,g3g4|h7e7
g0e2,c6c5,b2c2,b9a7,b0a2,a9b9,g3g4,h7e7|h0g2
g0e2,c6c5,b2c2,b9a7,b0a2,a9b9,g3g4,h7e7,h0g2|h9g7
g0e2,c6c5,b2c2,b9a7,b0a2,a9b9,g3g4,h7e7,h0g2,h9g7|i0h0
g0e2,c6c5,b2c2,b9a7,b0a2,a9b9,g3g4,h7e7,h0g2,h9g7,i0h0|i9h9
h2f2,g6g5,h0i2,h7f7|i0h0
h2f2,g6g5,h0i2,h7f7,i0h0|h9g7
h2f2,g6g5,h0i2,h7f7,i0h0,h9g7|c3c4
h2f2,g6g5,h0i2,h7f7,i0h0,h9g7,c3c4|b9c7
h2d2,g6g5,h0g2,h9g7,b0a2|i9h9
h2d2,g6g5,h0g2,h9g7,b0a2,i9h9|b2c2
c3c4,b7c7,h2e2,h9g7,h0g2,c6c5,i0h0,c5c4,c0a2|i9h9
c3c4,b7c7,h2e2,h9g7,h0g2,c6c5,i0h0,c5c4,c0a2,i9h9|a2c4
c3c4,b7c7,h2e2,h9g7,h0g2,c6c5,i0h0,c5c4,c0a2,i9h9,a2c4|b9a7
g0e2,h7d7,g3g4,h9g7,h0g2,i9h9,i0h0|h9h5
g0e2,h7d7,g3g4,h9g7,h0g2,i9h9,i0h0,h9h5|h2i2
g0e2,h7d7,g3g4,h9g7,h0g2,i9h9,i0h0,h9h5,h2i2|h5f5
g0e2,h7d7,g3g4,h9g7,h0g2,i9h9,i0h0,h9h5,h2i2,h5f5|b0c2
g0e2,h7d7,g3g4,h9g7,h0g2,i9h9,i0h0,h9h5,h2i2,h5f5,b0c2|b9c7
h2e2,h9g7,h0g2,i9h9,i0h0,b9c7,c3c4,g6g5,h0h6,g9e7|b0c2
h2e2,h9g7,h0g2,i9h9,i0h0,b9c7,c3c4,g6g5,h0h6,g9e7,b0c2|a9a8
h2e2,b9c7,h0g2,h7e7,i0h0,h9g7,b0c2|c6c5
h2e2,b9c7,h0g2,h7e7,i0h0,h9g7,b0c2,c6c5|g3g4
h2e2,h9g7,h0g2,g6g5,c3c4,i9h9,b0c2,b9c7,i0h0|c9e7
h2e2,h9g7,h0g2,i9h9,g3g4,c6c5,i0h0,b9c7,b2b6|g9e7
h2e2,h9g7,h0g2,i9h9,g3g4,c6c5,i0h0,b9c7,b2b6,g9e7|b6c6
h2e2,h9g7,h0g2,i9h9,g3g4,c6c5,i0h0,b9c7,b2b6,g9e7,b0a2|a6a5
h2e2,b9c7,h0g2,h7f7,i0h0,h9g7,b2d2,a9a8|b0c2
h2e2,b9c7,h0g2,h7f7,i0h0,h9g7,b2d2,a9a8,b0c2|a8d8
h2e2,b9c7,h0g2,h7f7,i0h0,h9g7,b2d2,a9a8,b0c2,a8d8|d0e1
h2e2,b9c7,h0g2,h7f7,i0h0,h9g7,b2d2,a9a8,b0c2,a8d8,d0e1|g6g5
g0e2,b9c7,c3c4,h7e7,b2c2,e7e3|f0e1
g0e2,b9c7,c3c4,h7e7,b2c2,e7e3,f0e1|i9i7
g0e2,b9c7,c3c4,h7e7,b2c2,e7e3,f0e1,i9i7|h0g2
c3c4,b7c7,h2e2,c9e7,b0a2,i9i8,h0g2,i8d8,g3g4|d9e8
c3c4,b7c7,h2e2,c9e7,b0a2,i9i8,h0g2,i8d8,g3g4,d8d5|g2f4
c3c4,b7c7,h2e2,c9e7,b0a2,i9i8,h0g2,i8d8,g3g4,d8d5,g2f4|d5f5
g3g4,h7g7,b2e2,g9e7,h0i2,a9a8,b0c2,a8f8,i0h0|f9e8
g3g4,h7g7,b2e2,g9e7,h0i2,a9a8,b0c2,a8f8,i0h0,f8f5|a0b0
c3c4,c9e7,b0c2,h9g7,b2a2|b9d8
c3c4,c9e7,b0c2,h9g7,b2a2,b9d8|a0b0
c3c4,c9e7,b0c2,h9g7,b2a2,b9d8,a0b0|c6c5
c3c4,c9e7,b0c2,h9g7,b2a2,b9d8,a0b0,c6c5|c4c5
c3c4,c9e7,b0c2,h9g7,b2a2,b9d8,a0b0,c6c5,c4c5|a9c9
c3c4,g6g5,b0c2,h9g7,a0a1,c9e7,h0i2|i9i8
c3c4,b7c7,b0a2,h7e7|h0g2
c3c4,b7c7,b0a2,h7e7,h0g2|h9g7
c3c4,b7c7,b0a2,h7e7,h0g2,b9a7|a0b0
c3c4,b7c7,b0a2,h7e7,h0g2,b9a7,a0b0|h9g7
c3c4,b7c7,b0a2,h7e7,h0g2,b9a7,a0b0,h9g7|i0h0
c3c4,b7c7,b0a2,h7e7,h0g2,b9a7,a0b0,h9g7,i0h0|a9b9
c3c4,b7c7,b0a2,h7e7,h0g2,b9a7,a0b0,h9g7,i0h0,a9b9|g3g4
c3c4,b7c7,b0a2,h7e7,h0g2,b9a7,a0b0,h9g7,i0h0,a9b9,g3g4|b9b5
b0c2,c6c5,g3g4,b9c7,h0g2,g9e7,a0a1|a9a8
b0c2,c6c5,g3g4,b9c7,h0g2,g9e7,a0a1,a9a8|i0i1
b0c2,c6c5,g3g4,b9c7,h0g2,g9e7,a0a1,a9a8,i0i1|a8f8
h2e2,h7e7,h0g2,h9g7,i0h0,i9i8,b0c2,c6c5,h0h5|i8c8
h2e2,h7e7,h0g2,h9g7,i0h0,i9i8,b0c2,c6c5,h0h5,i8c8|c0a2
h2e2,h7e7,h0g2,h9g7,i0h0,i9i8,b0c2,c6c5,h0h5,i8c8,c0a2|b9a7
g3g4,h7g7,b2e2,c9e7,b0c2|g6g5
g3g4,h7g7,b2e2,c9e7,b0c2,g6g5|a0b0
g3g4,h7g7,b2e2,c9e7,b0c2,g6g5,a0b0|g5g4
g3g4,h7g7,b2e2,c9e7,b0c2,g6g5,a0b0,g5g4|h0i2
g3g4,h7g7,b2e2,c9e7,b0c2,g6g5,a0b0,g5g4,h0i2|h9i7
g3g4,h7g7,b2e2,c9e7,b0c2,g6g5,a0b0,g5g4,h0i2,h9i7|i0h0
g3g4,h7g7,b2e2,c9e7,b0c2,g6g5,a0b0,g5g4,h0i2,h9i7,i0h0|i9h9
g3g4,c6c5,h0g2,b9c7,g0e2,c9e7|b0a2
h2e2,h9g7,h0g2,i9h9,i0h0,g6g5,b2d2,h7h3|b0c2
h2e2,h9g7,h0g2,i9h9,i0h0,g6g5,b2d2,h7h3,b0a2|b7e7
h2e2,h9g7,h0g2,i9h9,i0h0,g6g5,b2d2,h7h3,b0a2,b7e7|d0e1
h2e2,h9g7,h0g2,i9h9,i0h0,g6g5,b2d2,h7h3,b0a2,b7e7,d0e1|b9c7
c3c4,b7c7,d0e1,b9a7,b2e2,h9g7|b0c2
c3c4,b7c7,d0e1,b9a7,b2e2,h9g7,b0c2|a9b9
c3c4,b7c7,d0e1,b9a7,b2e2,h9g7,b0c2,a9b9|c2d4
c3c4,b7c7,d0e1,b9a7,b2e2,h9g7,b0c2,a9b9,c2d4|g9e7
c3c4,b7c7,d0e1,b9a7,b2e2,h9g7,b0c2,a9b9,c2d4,g9e7|d4e6
c3c4,b7c7,d0e1,b9a7,b2e2,h9g7,b0c2,a9b9,c2d4,g9e7,d4e6|g7e6
g0e2,h7d7,c3c4,h9g7,h2f2,i9h9,h0g2,h9h5,i0h0,h5h0|g2h0
g0e2,h7d7,c3c4,h9g7,h2f2,i9h9,h0g2,h9h5,i0h0,h5h0,g2h0|b9a7
c3c4,c9e7,b0c2,h9i7|h0g2
c3c4,c9e7,b0c2,h9i7,b2a2|i9i8
c3c4,h7e7,h0g2,g6g5,i0h0|h9g7
c3c4,h7e7,h0g2,g6g5,i0h0,h9g7|b0c2
c3c4,h7e7,h0g2,g6g5,i0h0,h9g7,b0c2|i9h9
c3c4,h7e7,h0g2,g6g5,i0h0,h9g7,b0c2,i9h9|a0a1
c3c4,b7c7,h2e2,h7e7,h0g2,c6c5,b0a2|c5c4
c3c4,b7c7,h2e2,h7e7,h0g2,c6c5,b0a2,c5c4|i0h0
c3c4,b7c7,h2e2,h7e7,h0g2,c6c5,b0a2,c5c4,i0h0|c7c8
c3c4,b7c7,h2e2,h7e7,h0g2,c6c5,b0a2,c5c4,i0h0,c7c8|b2b8
c3c4,b7c7,h2e2,h7e7,h0g2,c6c5,b0a2,c5c4,i0h0,c7c8,b2b8|a9a7
c3c4,b7c7,g0e2,b9a7,b0c2,a9b9,c2d4,h9g7,a0a1,g9e7|a1f1
c3c4,b7c7,g0e2,b9a7,b0c2,a9b9,c2d4,h9g7,a0a1,g9e7,a1f1|g6g5
h2e2,h9g7,h0g2,g6g5,i0h0,h7h5,b0c2,b9c7,b2a2|b7b8
h2e2,h9g7,h0g2,g6g5,i0h0,h7h5,b0c2,b9c7,b2a2,b7b8|h0h1
h2e2,h9g7,h0g2,g6g5,i0h0,h7h5,b0c2,b9c7,b2a2,b7b8,h0h1|g9e7
b0c2,h9g7,c3c4,g6g5,a0a1|g9e7
b0c2,h9g7,c3c4,g6g5,a0a1,g9e7|h2e2
b0c2,h9g7,c3c4,g6g5,a0a1,g9e7,g0e2|b9a7
b0c2,h9g7,c3c4,g6g5,a0a1,g9e7,g0e2,b9a7|a1g1
h2e2,h9g7,h0g2,i9h9,i0h0,c6c5,b0a2,b9c7,h0h6|c9e7
h2e2,h9g7,h0g2,i9h9,i0h0,c6c5,b0a2,b9c7,h0h6,c9e7|b2d2
h2e2,h9g7,h0g2,i9h9,i0h0,c6c5,b0a2,b9c7,h0h6,c9e7,b2c2|c7b5
h2e2,b9c7,h0g2,h7f7,i0h0,h9g7,g3g4,c6c5,b0a2,c9e7,b2d2|i9i8
c0e2,b7e7,h0g2|b9c7
c0e2,b7e7,h0g2,b9c7|b2d2
c0e2,b7e7,h0g2,b9c7,b0c2|a9b9
c3c4,g6g5,b2e2,h9g7,h0i2|c9e7
c3c4,g6g5,b2e2,h9g7,h0i2,b9c7|b0c2
c3c4,g6g5,b2e2,h9g7,h0i2,b9c7,b0c2|a9b9
c3c4,g6g5,b2e2,h9g7,h0i2,b9c7,b0c2,a9b9|a0b0
c3c4,g6g5,b2e2,h9g7,h0i2,b9c7,b0c2,a9b9,a0b0|i6i5
c3c4,h9g7,g3g4,h7i7,h2f2,i9h9,h0g2,h9h5|i0h0
c3c4,h9g7,g3g4,h7i7,h2f2,i9h9,h0g2,h9h5,i0h0|h5b5
c3c4,h9g7,g3g4,h7i7,h2f2,i9h9,h0g2,h9h5,i0h0,h5f5|c0e2
c3c4,h9g7,g3g4,h7i7,h2f2,i9h9,h0g2,h9h5,i0h0,h5f5,b0c2|c6c5
h2e2,b9c7,h0g2,h7f7,i0h0,h9g7,c3c4,g6g5,b2d2,i9i8|b0c2
h2e2,b9c7,h0g2,h7f7,i0h0,h9g7,c3c4,g6g5,b2d2,i9i8,b0c2|i8d8
h2d2,h9g7,h0g2,i9h9,c3c4,g6g5,b0c2,b9a7,c0e2|a9a8
h2d2,h9g7,h0g2,i9h9,c3c4,g6g5,b0c2,b9a7,c0e2,a9a8|i0h0
c3c4,g6g5,b0c2,h9g7,b2a2,c9e7|a0b0
c3c4,g6g5,b0c2,h9g7,b2a2,c9e7,a0b0|b9d8
c3c4,g6g5,b0c2,h9g7,b2a2,c9e7,a0b0,b9d8|h0g2
c3c4,g6g5,b0c2,h9g7,b2a2,c9e7,a0b0,b9d8,h0g2|i9i8
c3c4,g6g5,b0c2,h9g7,b2a2,c9e7,a0b0,b9d8,h0g2,i9i8|i0i1
c3c4,g6g5,b0c2,h9g7,b2a2,b9c7,a0b0,a9b9,h0i2|c9e7
c3c4,g6g5,b0c2,h9g7,b2a2,b9c7,a0b0,a9b9,h0i2,i6i5|i0i1
c3c4,g6g5,b0c2,h9g7,b2a2,b9c7,a0b0,a9b9,h0i2,i6i5,h2h6|g7h5
c3c4,g6g5,b2d2|h9g7
c3c4,g6g5,b2d2,a9a8|b0c2
c3c4,g6g5,b2d2,a9a8,b0c2|a8d8
c3c4,g6g5,b2d2,a9a8,b0c2,a8d8|f0e1
c3c4,g6g5,b2d2,a9a8,b0c2,a8d8,f0e1|h9g7
c3c4,g6g5,b2d2,a9a8,b0c2,a8d8,f0e1,h9g7|h2e2
g0e2,g6g5,c3c4,h9g7,b0c2,c9e7,a0a1|b9d8
g0e2,g6g5,c3c4,h9g7,b0c2,c9e7,a0a1,b9d8|h0f1
g0e2,c9e7,c3c4,g6g5,b0c2,h9g7,a0a1,b9d8|h0f1
g0e2,c9e7,c3c4,g6g5,b0c2,h9g7,a0a1,b9d8,h0f1|a9c9
g0e2,c9e7,c3c4,g6g5,b0c2,h9g7,a0a1,b9d8,h0f1,a9c9|i0g0
g0e2,h7e7,b0c2,c6c5|g3g4
h2e2,h9g7,g3g4,c6c5,h0g2,b9c7,i0h0,i9h9,h0h6|h7i7
h2e2,h9g7,g3g4,c6c5,h0g2,b9c7,i0h0,i9h9,h0h6,c9e7|b0a2
c3c4,g6g5,b0c2,h9g7,b2a2,b9c7,a0b0,a9b9,g0e2|c9e7
c3c4,g6g5,b0c2,h9g7,b2a2,b9c7,a0b0,a9b9,g0e2,h7i7|h0f1
c3c4,g6g5,b0c2,h9g7,b2a2,b9c7,a0b0,a9b9,g0e2,h7i7,h0f1|i9h9
g0e2,h7d7,h0g2,h9g7,i0h0,i9h9,b0c2,g6g5|c3c4
g0e2,h7d7,h0g2,h9g7,i0h0,i9h9,b0c2,g6g5,c3c4|b9a7
g0e2,h7d7,h0g2,h9g7,i0h0,i9h9,b0c2,g6g5,c3c4,b9a7|h2h4
g0e2,h7d7,h0g2,h9g7,i0h0,i9h9,b0c2,g6g5,c3c4,b9a7,h2h4|c9e7
c0e2,h7f7,i0i1|h9g7
c0e2,h7f7,i0i1,h9i7|i1f1
c0e2,h7f7,i0i1,h9i7,i1f1|c9e7
c0e2,h7f7,i0i1,h9i7,i1f1,c9e7|i3i4
c0e2,h7f7,i0i1,h9i7,i1f1,c9e7,i3i4|i9h9
c0e2,h7f7,i0i1,h9i7,i1f1,c9e7,i3i4,i9h9|h0i2
c0e2,h7f7,i0i1,h9i7,i1f1,c9e7,i3i4,i9h9,h0i2|h9h5
c0e2,h7f7,i0i1,h9i7,i1f1,c9e7,i3i4,i9h9,h0i2,h9h5|f1f4
c3c4,h9g7,b0c2,i9i8,g0e2,c9e7|g3g4
b0c2,c6c5,g3g4,b9c7,h0g2,a9a8,a0a1,g9e7,i0i1|a8f8
b0c2,c6c5,g3g4,b9c7,h0g2,a9a8,a0a1,g9e7,i0i1,a8g8|g2f4
g0e2,b9c7,c3c4,g6g5,b0c2,h9g7,a0a1,a9a8|a1g1
g0e2,b9c7,c3c4,g6g5,b0c2,h9g7,a0a1,a9a8,a1g1|g7h5
g0e2,b9c7,c3c4,g6g5,b0c2,h9g7,a0a1,a9a8,a1g1,g7h5|h2h7
g0e2,b9c7,c3c4,g6g5,b0c2,h9g7,a0a1,a9a8,a1g1,g7h5,h2h7|b7h7
c3c4,b7c7,g3g4|c6c5
h2e2,h9g7,g3g4,i9h9,h0g2,c6c5,i0h0,b9c7,b0a2,a6a5,b2d2|h7h5
h2d2,h7e7,h0g2,h9g7,i0h0,i9i8,h0h6,b9c7|h6g6
h2d2,h7e7,h0g2,h9g7,i0h0,i9i8,h0h6,b9c7,h6g6|i8d8
h2d2,h7e7,h0g2,h9g7,i0h0,i9i8,h0h6,b9c7,h6g6,i8d8|f0e1
c3c4,g6g5,b0c2,h9g7,h0i2|c9e7
c3c4,g6g5,b0c2,h9g7,h0i2,c9e7|h2f2
c3c4,g6g5,b0c2,h9g7,h0i2,c9e7,h2f2|i9i8
c3c4,g6g5,b0c2,h9g7,h0i2,c9e7,h2f2,g7h5|b2b5
c3c4,g6g5,b0c2,h9g7,h0i2,c9e7,h2f2,g7h5,b2b5|c6c5
c3c4,g6g5,b0c2,h9g7,h0i2,c9e7,h2f2,g7h5,b2b5,c6c5|c4c5
c3c4,g6g5,b0c2,h9g7,h0i2,c9e7,h2f2,g7h5,b2b5,c6c5,c4c5|i9i8
b0c2,c6c5,g3g4,b7f7|h0g2
b0c2,c6c5,g3g4,b7f7,h0g2|b9c7
b0c2,c6c5,g3g4,b7f7,h0g2,b9c7|a0b0
g0e2,b7d7,b0a2,b9a7|a0a1
g0e2,b7d7,b0a2,b9a7,a0b0|a9b9
g0e2,b7d7,b0a2,b9a7,a0b0,a9b9|h0g2
g0e2,b7d7,b0a2,b9a7,a0b0,a9b9,g3g4|h7e7
g0e2,b7d7,b0a2,b9a7,a0b0,a9b9,g3g4,h7e7|h0g2
g0e2,b7d7,b0a2,b9a7,a0b0,a9b9,g3g4,h7e7,h0g2|h9g7
g0e2,b7d7,b0a2,b9a7,a0b0,a9b9,g3g4,h7e7,h0g2,h9g7|i0h0
g0e2,b7d7,b0a2,b9a7,a0b0,a9b9,g3g4,h7e7,h0g2,h9g7,i0h0|i9h9
g0e2,b7d7,a0a1,b9c7,a1d1,h9g7,g3g4,a9b9,h2f2,b9b5|h0g2
g0e2,b7d7,a0a1,b9c7,a1d1,h9g7,g3g4,a9b9,h2f2,b9b5,h0g2|g6g5
c3c4,g6g5,b2e2,h9g7,b0c2,c9e7|h0i2
c3c4,g6g5,b2e2,h9g7,b0c2,c9e7,a0b0|b9d8
c3c4,g6g5,b2e2,h9g7,b0c2,c9e7,a0b0,b9d8|h0g2
c3c4,g6g5,b2e2,h9g7,b0c2,c9e7,a0b0,b9d8,h0g2|g7f5
c3c4,g6g5,b0c2,h9g7,h0i2,c9e7,b2a2|b9c7
c3c4,g6g5,b0c2,h9g7,h0i2,c9e7,b2a2,i9i8|a0b0
c3c4,g6g5,b0c2,h9g7,h0i2,c9e7,b2a2,i9i8,a0b0|b9d8
c3c4,h7d7,b2g2|h9g7
c3c4,h7d7,b2g2,h9g7|h0i2
c3c4,h7d7,b2g2,h9g7,h0i2|i9h9
c3c4,g6g5,b0c2,h9g7,g0e2,c9e7,a0a1,b9d8,a1d1|i9i8
c3c4,g6g5,b0c2,h9g7,g0e2,c9e7,a0a1,b9d8,a1d1,i9i8|h0f1
c3c4,g6g5,b0c2,h9g7,g0e2,c9e7,a0a1,b9d8,a1d1,i9i8,h0f1|a9c9
c3c4,h7d7,h0g2,h9g7,i0h0,i9i8,h2i2,c9e7|h0h4
c3c4,h7d7,h0g2,h9g7,i0h0,i9i8,h2i2,c9e7,h0h4|i8c8
c3c4,h7d7,h0g2,h9g7,i0h0,i9i8,h2i2,c9e7,h0h4,i8c8|b0a2
c3c4,h7d7,h0g2,h9g7,i0h0,i9i8,h2i2,c9e7,h0h4,i8c8,b0a2|c6c5
g0e2,h7e7,h0g2,h9g7,g3g4,i9h9,i0h0,b7d7,h2h6|b9c7
g0e2,h7e7,h0g2,h9g7,g3g4,i9h9,i0h0,b7d7,h2h6,b9c7|b0a2
g0e2,h7e7,h0g2,h9g7,g3g4,i9h9,i0h0,b7d7,h2h6,b9c7,b0a2|a9b9
g0e2,h7e7,g3g4,h9g7,h0g2,i9h9,i0h0,b7d7,b0c2,b9c7|a0b0
g0e2,h7e7,g3g4,h9g7,h0g2,i9h9,i0h0,b7d7,b0c2,b9c7,a0b0|a9b9
g0e2,h7e7,h0g2,g6g5,c3c4,h9g7,b0c2,i9h9|i0h0
g0e2,h7e7,h0g2,g6g5,c3c4,h9g7,b0c2,i9h9,i0h0|b7c7
g0e2,h7e7,h0g2,g6g5,c3c4,h9g7,b0c2,i9h9,i0h0,b9a7|a3a4
g0e2,h7e7,h0g2,g6g5,c3c4,h9g7,b0c2,i9h9,i0h0,b9a7,a3a4|b7c7
b2e2,b9c7,b0c2,a9b9,a0b0,h9g7,c3c4,g6g5,h0i2,i6i5,h2h6|c9e7
b0c2,c6c5,h2e2,b9c7,h0g2,h9g7,i0h0,i9h9,g3g4,a9a8|e3e4
b0c2,c6c5,h2e2,b9c7,h0g2,h9g7,i0h0,i9h9,g3g4,a9a8,e3e4|g9e7
h2e2,h9g7,g3g4,c6c5,h0g2,b9c7,i0h0,i9h9,b0a2,a6a5,b2b6|g9e7
h2e2,h9g7,c3c4,g6g5,h0g2,b9c7,b0c2,i9h9,i0i1|c9e7
h2e2,h9g7,c3c4,g6g5,h0g2,b9c7,b0c2,i9h9,i0i1,c9e7|i1f1
h2e2,h9g7,c3c4,g6g5,h0g2,b9c7,b0c2,i9h9,i0i1,c9e7,i1f1|h7h5
b0c2,c6c5,g3g4,b9c7,h0g2,b7a7|a0b0
b0c2,c6c5,g3g4,b9c7,h0g2,b7a7,a0b0|a9b9
h2e2,h9g7,h0g2,g6g5,c3c4,b9c7,b0c2,g9e7|i0h0
h2e2,h9g7,h0g2,g6g5,c3c4,b9c7,b0c2,g9e7,i0h0|i9h9
h2e2,h9g7,h0g2,g6g5,c3c4,b9c7,b0c2,g9e7,i0h0,i9h9|b2b4
h2e2,h9g7,h0g2,g6g5,c3c4,b9c7,b0c2,g9e7,i0h0,i9h9,b2b4|a9a8
h2e2,h9g7,h0g2,i9h9,i0h0,g6g5,c3c4,h7h3,b0c2,b7e7|f0e1
h2e2,h9g7,h0g2,i9h9,i0h0,g6g5,c3c4,h7h3,b0c2,b7e7,f0e1|b9c7
g0e2,b9c7,c3c4,h7e7,b0c2,h9g7,h0g2,i9h9,i0h0,h9h5,a0a1|c6c5
h2e2,h9g7,g3g4,i9h9,h0g2,c6c5,i0i1|b9c7
h2e2,h9g7,g3g4,i9h9,h0g2,c6c5,i0i1,b9c7|b2b6
c3c4,b7c7,h2e2,c9e7,d0e1,h9g7,h0g2,i9h9,b2d2,g6g5|b0c2
c3c4,b7c7,h2e2,c9e7,d0e1,h9g7,h0g2,i9h9,b2d2,g6g5,b0c2|h7i7
c3c4,g6g5,b0c2,h9g7,b2a2,b9c7,a0b0,a9b9,g0e2,g9e7|h0g2
g0e2,h7d7,c3c4,h9g7,h2f2,i9h9,h0g2,g6g5|b0c2
g0e2,h7d7,c3c4,h9g7,h2f2,i9h9,h0g2,g6g5,b0c2|b9a7
g0e2,h7d7,c3c4,h9g7,h2f2,i9h9,h0g2,g6g5,b0c2,c9e7|a0a1
g0e2,h7d7,c3c4,h9g7,h2f2,i9h9,h0g2,g6g5,b0c2,c9e7,a0a1|b9a7
h2e2,h9g7,g3g4,c6c5,h0g2,b9c7,i0h0,i9h9,b0a2,a6a5,a0a1|a5a4
b2e2,b9c7,b0c2,c6c5,g3g4|a9b9
b2e2,b9c7,b0c2,c6c5,g3g4,a9b9|h0g2
b2e2,b9c7,b0c2,c6c5,g3g4,a9b9,h0g2|h9g7
b2e2,b9c7,b0c2,c6c5,g3g4,a9b9,h0g2,h9g7|h2h4
c3c4,g6g5,b0c2,h9g7,g0e2,c9e7,a0a1,b9d8,c2d4|i9i8
h2e2,h9g7,g3g4,i9h9,h0g2,c6c5,i0h0,b9c7,h0h6|c9e7
g0e2,b7d7,a0a1,b9c7,b0a2,a9b9,g3g4|b9b5
g0e2,g6g5,b0c2,g9e7,c3c4,b9a7,a0a1,a9a8,a1f1,h9g7,h0g2|a8d8
c3c4,g6g5,h2g2,g9e7,h0i2,h9g7,i0h0,i9h9,b0c2|b9a7
c3c4,g6g5,h2g2,g9e7,h0i2,h9g7,i0h0,i9h9,b0c2,b9a7|c0e2
c3c4,g6g5,h2g2,g9e7,h0i2,h9g7,i0h0,i9h9,b0c2,b9a7,c0e2|a9a8
c3c4,g6g5,b0c2,h9g7,b2a2,b9c7,a0b0,a9b9,g0e2,g9e7,h0i2|i6i5
b0c2,c6c5,g3g4,b9c7,h0g2,a9a8,b2a2|c7b5
b0c2,c6c5,g3g4,b9c7,h0g2,a9a8,b2a2,c7b5|g2f4
b0c2,c6c5,g3g4,b9c7,h0g2,a9a8,b2a2,c7b5,a3a4|b5c3
b0c2,c6c5,g3g4,b9c7,h0g2,a9a8,b2a2,c7b5,a3a4,g9e7|a4a5
b0c2,c6c5,g3g4,b9c7,h0g2,a9a8,b2a2,c7b5,a3a4,g9e7,a4a5|b5c3
h2e2,h9g7,h0g2,c6c5,i0h0,i9h9,g3g4,b9c7,b0a2,c9e7|a0a1
h2e2,h9g7,h0g2,c6c5,i0h0,i9h9,g3g4,b9c7,b0a2,c9e7,b2b6|g6g5
h2e2,h9g7,g3g4,i9h9,h0g2,h7i7,b0c2,b7e7,c3c4|b9c7
h2e2,h9g7,g3g4,i9h9,h0g2,h7i7,b0c2,b7e7,c3c4,b9c7|a0b0
h2e2,h9g7,g3g4,i9h9,h0g2,h7i7,b0c2,b7e7,c3c4,b9c7,a0b0|a9a8
c0e2,g6g5,h2g2,c9e7|h0i2
c0e2,g6g5,h2g2,c9e7,h0i2|h9g7
c0e2,g6g5,h2g2,c9e7,h0i2,h9g7|i0h0
c0e2,g6g5,h2g2,c9e7,h0i2,h9g7,i0h0|i9h9
c0e2,g6g5,h2g2,c9e7,h0i2,h9g7,i0h0,i9h9|b0c2
g0e2,h7d7,h0g2,h9g7,i0h0,i9h9,b0c2,b9a7|c3c4
g0e2,h7d7,h0g2,h9g7,i0h0,i9h9,b0c2,b9a7,c3c4|h9h5
g0e2,h7d7,h0g2,h9g7,i0h0,i9h9,b0c2,b9a7,c3c4,h9h5|h2i2
g0e2,h7d7,h0g2,h9g7,i0h0,i9h9,b0c2,b9a7,c3c4,h9h5,h2i2|h5h0
h0g2,g6g5,b2d2,b9c7|b0c2
b0c2,c6c5,g3g4,b9c7,h0g2,h9i7,i0i1,g9e7|a0a1
