|h2e2
h2e2,h7e7,h0g2,i9i8,i0h0,h9g7,b2d2,b9c7,b0c2,a9b9|a0b0
h2e2,h7e7,h0g2,i9i8,i0h0,h9g7,b2d2,b9c7,b0c2,a9b9,a0b0|b7b3
c3c4,b7c7,h2e2,c9e7,h0g2,i9i8,i0h0|i8b8
c3c4,b7c7,h2e2,c9e7,h0g2,i9i8,i0h0,i8b8|b0c2
c3c4,b7c7,h2e2,c9e7,h0g2,i9i8,i0h0,i8b8,b0c2|b9d8
c3c4,b7c7,h2e2,c9e7,h0g2,i9i8,i0h0,i8b8,b0c2,b9d8|b2a2
c3c4,b7c7,h2e2,c9e7,h0g2,i9i8,i0h0,i8b8,b0c2,b9d8,b2a2|h9i7
c3c4,b7c7,h2e2,h7e7|h0g2
c3c4,b7c7,h2e2,h7e7,h0g2|h9g7
c3c4,b7c7,h2e2,h7e7,h0g2,h9g7|i0h0
c3c4,b7c7,h2e2,h7e7,h0g2,h9g7,i0h0|b9a7
c3c4,b7c7,h2e2,h7e7,h0g2,h9g7,i0h0,b9a7|b2d2
c3c4,b7c7,h2e2,h7e7,h0g2,h9g7,i0h0,b9a7,b2d2|a9b9
c3c4,b7c7,h2e2,h7e7,h0g2,h9g7,i0h0,b9a7,b2d2,a9b9|b0c2
c3c4,b7c7,h2e2,h7e7,h0g2,h9g7,i0h0,b9a7,b2d2,a9b9,b0c2|b9b3
h2e2,h9g7,h0g2,i9h9,i0h0,h7h3,g3g4,b7e7,b0a2|b9c7
h2e2,h9g7,h0g2,i9h9,i0h0,h7h3,g3g4,b7e7,b0a2,b9c7|c3c4
h2e2,h9g7,h0g2,i9h9,i0h0,h7h3,g3g4,b7e7,b0a2,b9c7,c3c4|a9b9
h2e2,h9g7,h0g2,i9h9,c3c4|g6g5
h2e2,h9g7,h0g2,i9h9,c3c4,g6g5|b0c2
h2e2,h9g7,h0g2,i9h9,c3c4,g6g5,b0c2|b9c7
h2e2,h9g7,h0g2,i9h9,c3c4,g6g5,b0c2,b9c7|i0i1
h2e2,h9g7,h0g2,i9h9,c3c4,g6g5,b0c2,b9c7,b2b4|g7h5
h2e2,h9g7,h0g2,i9h9,c3c4,g6g5,b0c2,b9c7,b2b4,g7h5|c2d4
h2e2,h9g7,h0g2,i9h9,c3c4,g6g5,b0c2,b9c7,b2b4,g7h5,c2d4|c9e7
h2e2,h9g7,h0g2,i9h9,i0h0,b9c7,b0a2|g6g5
h2e2,h9g7,h0g2,i9h9,i0h0,b9c7,b0a2,g6g5|b2c2
h2e2,h9g7,h0g2,i9h9,i0h0,b9c7,b0a2,g6g5,b2d2|a9b9
h2e2,h9g7,h0g2,i9h9,i0h0,b9c7,b0a2,g6g5,b2d2,a9b9|a0b0
h2e2,h9g7,h0g2,i9h9,i0h0,b9c7,b0a2,g6g5,b2d2,a9b9,a0b0|b7b3
c3c4,b7c7,b2e2|h7e7
c3c4,b7c7,b2e2,h7e7|h0g2
c3c4,b7c7,b2e2,h7e7,h0g2|h9g7
c3c4,b7c7,b2e2,h7e7,h0g2,h9g7|i0h0
c3c4,b7c7,b2e2,h7e7,h0g2,h9g7,i0h0|c6c5
c3c4,b7c7,b2e2,h7e7,h0g2,h9g7,i0h0,c6c5|b0a2
c3c4,b7c7,b2e2,h7e7,h0g2,h9g7,i0h0,c6c5,b0a2|c5c4
c3c4,b7c7,b2e2,h7e7,h0g2,h9g7,i0h0,c6c5,b0a2,c5c4|a0b0
c3c4,b7c7,b2e2,h7e7,h0g2,h9g7,i0h0,c6c5,b0a2,c5c4,a0b0|b9a7
h2e2,h9g7,h0g2,i9h9,c3c4,h7i7|b0c2
h2e2,h9g7,h0g2,i9h9,c3c4,h7i7,b0c2|g6g5
h2e2,h9g7,h0g2,i9h9,c3c4,h7i7,b0c2,h9h4|c0a2
h2e2,h9g7,h0g2,i9h9,c3c4,h7i7,b0c2,h9h4,c0a2|g6g5
h2e2,h9g7,h0g2,i9h9,c3c4,h7i7,b0c2,h9h4,c0a2,g6g5|b2b4
h2e2,h9g7,h0g2,i9h9,c3c4,h7i7,b0c2,h9h4,c0a2,g6g5,g3g4|h4g4
c3c4,b7c7,h2e2,c9e7,h0g2,i9i8,b0c2|i8b8
c3c4,b7c7,h2e2,c9e7,h0g2,i9i8,b0c2,i8b8|i0h0
c3c4,b7c7,h2e2,c9e7,h0g2,i9i8,b0c2,i8b8,i0h0|b9d8
c3c4,b7c7,h2e2,c9e7,h0g2,i9i8,b0c2,i8b8,i0h0,b9d8|b2a2
c3c4,b7c7,h2e2,c9e7,h0g2,i9i8,b0c2,i8b8,i0h0,b9d8,b2a2|h9i7
c3c4,b7c7,h2e2,g9e7|b0a2
c3c4,b7c7,h2e2,g9e7,b0a2|b9a7
c3c4,b7c7,h2e2,g9e7,b0a2,b9a7|a0b0
c3c4,b7c7,h2e2,g9e7,b0a2,b9a7,a0b0|a9a8
c3c4,b7c7,h2e2,g9e7,b0a2,b9a7,a0b0,a9a8|a3a4
